id,name,description
one-shot-part-segmentation-of-scoop,One-Shot Part Segmentation of Scoop Affordance - Inter Class,
one-shot-part-segmentation-of-scoop-1,One-Shot Part Segmentation of Scoop Affordance - Intra Class,
one-shot-part-segmentation-of-support,One-Shot Part Segmentation of Support Affordance - Inter Class,
one-shot-part-segmentation-of-support-1,One-Shot Part Segmentation of Support Affordance - Intra Class,
one-shot-part-segmentation-of-wrap-grasp,One-Shot Part Segmentation of Wrap-Grasp Affordance - Inter Class,
one-shot-part-segmentation-of-wrap-grasp-1,One-Shot Part Segmentation of Wrap-Grasp Affordance - Intra Class,
one-shot-segmentation,One-Shot Segmentation,"<span style=""color:grey; opacity: 0.6"">( Image credit: [One-Shot Learning for Semantic
Segmentation](https://arxiv.org/pdf/1709.03410v1.pdf) )</span>"
one-shot-unsupervised-domain-adaptation,One-shot Unsupervised Domain Adaptation,
one-shot-visual-object-segmentation,One-shot visual object segmentation,
one-stage-anchor-free-oriented-object,One-stage Anchor-free Oriented Object Detction,
one-stage-anchor-free-oriented-object-1,One-stage Anchor-free Oriented Object Detection,
online-action-detection,Online Action Detection,Online action detection is the task of predicting the action as soon as it happens in a streaming video without access to video frames in the future.
online-beat-tracking,Online Beat Tracking,
online-clustering,Online Clustering,"Models that learn to label each image (i.e. cluster the dataset into its ground truth classes) without seeing the ground truth labels. Under the online scenario, data is in the form of streams, i.e., the whole dataset could not be accessed at the same time and the model should be able to make cluster assignments for new data without accessing the former data.

Image Credit: [Online Clustering by Penalized Weighted GMM](https://arxiv.org/pdf/1902.02544v1.pdf)"
online-community-detection,Online Community Detection,
online-domain-adaptation,Online Domain Adaptation,"Online Adaptation aims to tackle multiple domain shifts, occurring unpredictably during deployment in real applications and without clear boundaries between them."
online-downbeat-tracking,Online Downbeat Tracking,
online-multi-object-tracking,Online Multi-Object Tracking,"The goal of **Online Multi-Object Tracking** is to estimate the spatio-temporal trajectories of multiple objects in an online video stream (i.e., the video is provided frame-by-frame), which is a fundamental problem for numerous real-time applications, such as video surveillance, autonomous driving, and robot navigation.


<span class=""description-source"">Source: [A Hybrid Data Association Framework for Robust Online Multi-Object Tracking ](https://arxiv.org/abs/1703.10764)</span>"
online-nonnegative-cp-decomposition,Online nonnegative CP decomposition,
online-ranker-evaluation,Online Ranker Evaluation,
online-review-rating,Online Review Rating,
online-surgical-phase-recognition,Online surgical phase recognition,"Online surgical phase recognition: the first 40 videos to train, the last 40 videos to test."
online-unsupervised-domain-adaptation,Online unsupervised domain adaptation,
on-the-fly-sketch-based-image-retrieval,On-the-Fly Sketch Based Image Retrieval,Start retrieving as the user starts drawing.
ontology-embedding,Ontology Embedding,
ontology-matching,Ontology Matching,
ontology-subsumption-inferece,Ontology Subsumption Inferece,
opd-single-view-3d-openable-part-detection,OPD: Single-view 3D Openable Part Detection,Detect the openable parts and predict their motion parameters from  single-view image
openai-gym,OpenAI Gym,"An open-source toolkit from OpenAI that implements several Reinforcement Learning benchmarks including: classic control, Atari, Robotics and MuJoCo tasks.

(Description by [Evolutionary learning of interpretable decision trees](https://paperswithcode.com/paper/evolutionary-learning-of-interpretable))

(Image Credit: [OpenAI Gym](https://gym.openai.com/))"
open-domain-dialog,Open-Domain Dialog,
open-domain-question-answering,Open-Domain Question Answering,Open-domain question answering is the task of question answering on open-domain datasets such as Wikipedia.
open-question,Open-Ended Question Answering,"Open-ended questions are defined as those that simply pose the question, without imposing any constraints on the format of the response. This distinguishes them from questions with a predetermined answer format."
open-information-extraction,Open Information Extraction,"In natural language processing, open information extraction is the task of generating a structured, machine-readable representation of the information in text, usually in the form of triples or n-ary propositions (Source: Wikipedia)."
open-intent-detection,Open Intent Detection,"Open intent detection aims to identify n-class known intents, and detect one-class open intent."
open-intent-discovery,Open Intent Discovery,Open intent discovery aims to leverage limited prior knowledge of known intents to find fine-grained known and open intent-wise clusters.
open-knowledge-graph-canonicalization,Open Knowledge Graph Canonicalization,"Open Information Extraction approaches leads to creation of large Knowledge bases (KB) from the web. The problem with such methods is that their entities and relations are not canonicalized, which leads to storage of redundant and ambiguous facts. For example, an Open KB storing *\<Barack Obama, was born in, Honolulu\>* and *\<Obama, took birth in, Honolulu\>* doesn't know that *Barack Obama* and *Obama* mean the same entity. Similarly, *took birth in* and *was born in* also refer to the same relation. Problem of Open KB canonicalization involves identifying groups of equivalent entities and relations in the KB.

<span style=""color:grey; opacity: 0.6"">( Image credit: [CESI: Canonicalizing Open Knowledge Bases using Embeddings and Side Information](https://github.com/malllabiisc/cesi) )</span>"
open-knowledge-graph-embedding,Open Knowledge Graph Embedding,
open-relation-modeling,Open Relation Modeling,
open-set-action-recognition,Open Set Action Recognition,
open-set-learning,Open Set Learning,"Traditional supervised learning aims to train a classifier in the closed-set world, where training and test samples share the same label space. Open set learning (OSL) is a more challenging and realistic setting, where there exist test samples from the classes that are unseen during training. Open set recognition (OSR) is the sub-task of detecting test samples which do not come from the training."
open-set-video-captioning,Open Set Video Captioning,
open-set-video-tagging,Open-set video tagging,"In open-set video tagging, a model is asked to tag a given video with an ad-hoc vocabulary that the model is not specifically tuned for."
open-vocabulary-attribute-detection,Open Vocabulary Attribute Detection,"Open-Vocabulary Attribute Detection (OVAD) is a task that aims to detect and recognize an open set of objects and their associated attributes in an image. The objects and attributes are defined by text queries during inference, without prior knowledge of the tested classes during training."
open-vocabulary-object-detection,Open Vocabulary Object Detection,"Open-vocabulary detection (OVD) aims to generalize beyond the limited number of base classes labeled during the training phase. The goal is to detect novel classes defined by an unbounded
(open) vocabulary at inference."
open-vocabulary-panoptic-segmentation,Open Vocabulary Panoptic Segmentation,
open-vocabulary-semantic-segmentation,Open Vocabulary Semantic Segmentation,
open-world-object-detection,Open World Object Detection,"Open World Object Detection is a computer vision problem where a model is tasked to: 1) identify objects that have not been introduced to it as `unknown', without explicit supervision to do so, and 2) incrementally learn these identified unknown categories without forgetting previously learned classes, when the corresponding labels are progressively received."
open-world-semi-supervised-learning,Open-World Semi-Supervised Learning,
operator-learning,Operator learning,Learn an operator between infinite dimensional Hilbert spaces or Banach spaces
opinion-mining,Opinion Mining,"Identifying and categorizing opinions expressed in a piece of text, especially in order to determine whether the writer's attitude towards a particular topic, product, etc. is positive, negative, or neutral (Source: Oxford Languages)

Image Source: [Deep learning for sentiment analysis: A survey](https://onlinelibrary.wiley.com/doi/abs/10.1002/widm.1253)"
optical-character-recognition-1,Optical Character Recognition,
optical-character-recognition,Optical Character Recognition (OCR),"**Optical Character Recognition** or **Optical Character Reader** (OCR) is the electronic or mechanical conversion of images of typed, handwritten or printed text into machine-encoded text, whether from a scanned document, a photo of a document, a scene-photo (for example the text on signs and billboards in a landscape photo, license plates in cars...) or from subtitle text superimposed on an image (for example: from a television broadcast)"
optical-charater-recogntion,Optical Charater Recogntion,
optical-flow-estimation,Optical Flow Estimation,"**Optical Flow Estimation** is a computer vision task that involves computing the motion of objects in an image or a video sequence. The goal of optical flow estimation is to determine the movement of pixels or features in the image, which can be used for various applications such as object tracking, motion analysis, and video compression.

Approaches for optical flow estimation include correlation-based, block-matching, feature tracking, energy-based, and more recently gradient-based.

Further readings:

- [Optical Flow Estimation](https://www.cs.toronto.edu/~fleet/research/Papers/flowChapter05.pdf)
- [Performance of Optical Flow Techniques](https://www.cs.toronto.edu/~fleet/research/Papers/ijcv-94.pdf)

Definition source: [Devon: Deformable Volume Network for Learning Optical Flow ](https://arxiv.org/abs/1802.07351)

Image credit: [Optical Flow Estimation](https://www.cs.toronto.edu/~fleet/research/Papers/flowChapter05.pdf)"
optic-cup-detection,Optic Cup Detection,Region proposal for optic cup
optic-cup-segmentation,Optic Cup Segmentation,"Optic cup segmentation, concentric with optic disc, useful for glaucoma management (ophthalmology)"
optic-disc-detection,Optic Disc Detection,Region proposal for optic disc
optic-disc-segmentation,Optic Disc Segmentation,
optimal-motion-planning,Optimal Motion Planning,
optimize-the-trajectory-of-uav-which-plays-a,Optimize the trajectory of UAV which plays a BS in communication system,
oral-cancer-classification,Oral Cancer Classification,
orangesum,OrangeSum,
organ-detection,Organ Detection,
organ-segmentation,Organ Segmentation,
oriented-object-detction,Oriented Object Detction,
oriented-object-detection,Oriented Object Detection,
orpus-video-moment-retrieval,orpus Video Moment Retrieval,
outcome-prediction-in-multimodal-mri,Outcome Prediction In Multimodal Mri,
light-source-estimation,Outdoor Light Source Estimation,
outdoor-localization,Outdoor Localization,
outdoor-positioning,Outdoor Positioning,Outdoor Positioning (e.g. GPS)
outlier-detection,Outlier Detection,"**Outlier Detection** is a task of identifying a subset of a given data set which are considered anomalous in that they are unusual from other instances. It is one of the core data mining tasks and is central to many applications. In the security field, it can be used to identify potentially threatening users, in the manufacturing field it can be used to identify parts that are likely to fail.


<span class=""description-source"">Source: [Coverage-based Outlier Explanation ](https://arxiv.org/abs/1911.02617)</span>"
outlier-ensembles,outlier ensembles,
outlier-interpretation,Outlier Interpretation,
out-of-distribution-detection,Out-of-Distribution Detection,Detect out-of-distribution or anomalous examples.
out-of-distribution-generalization,Out-of-Distribution Generalization,
ood-detection,Out of Distribution (OOD) Detection,"**Out of Distribution (OOD) Detection** is the task of detecting instances that do not belong to the distribution the classifier has been trained on. OOD data is often referred to as ""unseen"" data, as the model has not encountered it during training. 

OOD detection is typically performed by training a model to distinguish between in-distribution (ID) data, which the model has seen during training, and OOD data, which it has not seen. This can be done using a variety of techniques, such as training a separate OOD detector, or modifying the model's architecture or loss function to make it more sensitive to OOD data."
overall-test,Overall - Test,
overlapped-100-10,Overlapped 100-10,
overlapped-100-5,Overlapped 100-5,
overlapped-100-50,Overlapped 100-50,
overlapped-10-1,Overlapped 10-1,
overlapped-14-1,Overlapped 14-1,
overlapped-15-1,Overlapped 15-1,
overlapped-15-5,Overlapped 15-5,
overlapped-19-1,Overlapped 19-1,
overlapped-25-25,Overlapped 25-25,
overlapped-50-50,Overlapped 50-50,
overlapped-5-3,Overlapped 5-3,
overlapping-mention-recognition,Overlapping Mention Recognition,Overlapping mention recognition is the task of correctly identifying all mentions of an entity in the presence of overlapping entity mentions.
overlapping-pose-estimation,Overlapping Pose Estimation,Pose estimation with overlapping poses.
pac-learning,PAC learning,Probably Approximately Correct (PAC) learning analyzes machine learning mathematically using probability bounds.
page-stream-segmentation,Page Stream Segmentation,page stream segmentation (PSS) is the task to automatically separate a stream of scanned images into coherent multi-page documents
pain-intensity-regression,Pain Intensity Regression,
pair-trading,PAIR TRADING,Pair trading is one of the most effective statistical arbitrage strategies which seeks a neutral profit by hedging a pair of selected assets.
pancreas-segmentation,Pancreas Segmentation,"Pancreas segmentation is the task of segmenting out the pancreas from medical imaging.

Convolutional neural network"
panoptic-scene-graph-generation,Panoptic Scene Graph Generation,"PSG task abstracts the given image with a scene graph, where nodes are grounded by panoptic segmentation"
panoptic-segmentation,Panoptic Segmentation,"**Panoptic Segmentation** is a computer vision task that combines semantic segmentation and instance segmentation to provide a comprehensive understanding of the scene. The goal of panoptic segmentation is to segment the image into semantically meaningful parts or regions, while also detecting and distinguishing individual instances of objects within those regions.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Detectron2](https://github.com/facebookresearch/detectron2) )</span>"
panoptic-tracking,Panoptic Tracking,
pansharpening,Pansharpening,"As a remote sensing image processing task, Pan-sharpening aims to increase the spatial resolution of the low-resolution multispectral image with the guidance of the corresponding panchromatic image."
paper-generation,Paper generation,"Generating scientific paper texts, such as abstracts."
paper-generation-abstract-to-conclusion,Paper generation (abstract-to-conclusion),
paper-generation-conclusion-to-title,Paper generation (Conclusion-to-title),
paper-generation-title-to-abstract,Paper generation (Title-to-abstract),
parallel-corpus-mining,Parallel Corpus Mining,Mining a corpus of bilingual sentence pairs that are translations of each other.
parameter-prediction,Parameter Prediction,
paraphrase-generation,Paraphrase Generation,"Paraphrase Generation involves transforming a natural language sentence to a new sentence, that has the same semantic meaning but a different syntactic or lexical surface form."
paraphrase-identification,Paraphrase Identification,"The goal of **Paraphrase Identification** is to determine whether a pair of sentences have the same meaning.


<span class=""description-source"">Source: [Adversarial Examples with Difficult Common Words for Paraphrase Identification ](https://arxiv.org/abs/1909.02560)</span>

Image source: [On Paraphrase Identification Corpora ](http://www.lrec-conf.org/proceedings/lrec2014/pdf/1000_Paper.pdf)"
paraphrase-identification-within-bi-encoder,Paraphrase Identification within Bi-Encoder,
parking-space-occupancy,Parking Space Occupancy,Image credit: [https://github.com/martin-marek/parking-space-occupancy](https://github.com/martin-marek/parking-space-occupancy)
part-level-panoptic-segmentation,Part-aware Panoptic Segmentation,Panoptic segmentation with part-aware predictions.
part-based-representation-learning,Part-based Representation Learning,
partial-domain-adaptation,Partial Domain Adaptation,"**Partial Domain Adaptation** is a transfer learning paradigm, which manages to transfer relevant knowledge from a large-scale source domain to a small-scale target domain.


<span class=""description-source"">Source: [Deep Residual Correction Network for Partial Domain Adaptation ](https://arxiv.org/abs/2004.04914)</span>"
partial-label-learning,Partial Label Learning,
partially-observable-reinforcement-learning,Partially Observable Reinforcement Learning,
partially-relevant-video-retrieval,Partially Relevant Video Retrieval,"In the Partially Relevant Video Retrieval (PRVR) task,  an untrimmed video is considered to be partially relevant w.r.t. a given textual query if it contains a moment relevant to the query. PRVR aims to retrieve such partially relevant videos from a large collection of untrimmed videos."
partially-supervised-instance-segmentation,partially supervised instance segmentation - nonvoc->voc setting,
partially-supervised-instance-segmentation-1,partially supervised instance segmentation - voc->nonvoc setting,
partially-view-aligned-multi-view-learning,Partially View-aligned Multi-view Learning,"In multi-view learning, Partially View-aligned Problem (PVP) refers to the case when only a portion of data is aligned, thus leading to data inconsistency."
partial-point-cloud-matching,Partial Point Cloud Matching,
partial-video-copy-detection,Partial Video Copy Detection,The PVCD goal is identifying and locating if one or more segments of a long testing video have been copied (transformed) from the reference videos dataset.
participant-intervention-comparison-outcome,Participant Intervention Comparison Outcome Extraction,"PICO recognition is an information extraction task for identifying Participant, Intervention, Comparator, and Outcome (PICO elements) information from clinical literature."
part-of-speech-tagging,Part-Of-Speech Tagging,"Part-of-speech tagging (POS tagging) is the task of tagging a word in a text with its part of speech.
A part of speech is a category of words with similar grammatical properties. Common English
parts of speech are noun, verb, adjective, adverb, pronoun, preposition, conjunction, etc.

Example: 

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| NNP | , | CD | NNS | JJ |"
passage-ranking,Passage Ranking,
passage-re-ranking,Passage Re-Ranking,Passage re-ranking is the task of scoring and re-ranking a collection of retrieved documents based on an input query.
passage-retrieval,Passage Retrieval,**Passage retrieval** is a specialized type of IR application that retrieves relevant passages (or pieces of text) rather than an entire ranked set of documents.
pass-classification,Pass Classification,
patch-matching,Patch Matching,
pathfinder,Pathfinder,
pathfinder-x,Pathfinder-X,
patient-outcomes,Patient Outcomes,
patient-phenotyping,Patient Phenotyping,"Classifying patients after 24h regarding their admission diagnosis,
using the APACHE group II and IV labels."
pcl-detection,Pcl Detection,
pde-surrogate-modeling,PDE Surrogate Modeling,
pedestrian-attribute-recognition,Pedestrian Attribute Recognition,"Pedestrian attribution recognition is the task of recognizing pedestrian features - such as whether they are talking on a phone, whether they have a backpack, and so on.

<span style=""color:grey; opacity: 0.6"">( Image credit: [HydraPlus-Net: Attentive Deep Features for Pedestrian Analysis](https://arxiv.org/pdf/1709.09930v1.pdf) )</span>"
pedestrian-density-estimation,Pedestrian Density Estimation,Pedestrian density estimation is the task of estimating the density of pedestrians from cameras.
pedestrian-detection,Pedestrian Detection,"Pedestrian detection is the task of detecting pedestrians from a camera.

Further state-of-the-art results (e.g. on the KITTI dataset) can be found at [3D Object Detection](https://paperswithcode.com/task/object-detection).

<span style=""color:grey; opacity: 0.6"">( Image credit: [High-level Semantic Feature Detection: A New Perspective for Pedestrian Detection](https://github.com/liuwei16/CSP) )</span>"
pedestrian-trajectory-prediction,Pedestrian Trajectory Prediction,
penguins-in-a-table,Penguins In A Table,
penn-machine-learning-benchmark,Penn Machine Learning Benchmark,Penn Machine Learning Benchmarks (PMLB) is a large collection of curated benchmark datasets for evaluating and comparing supervised machine learning algorithms.
penn-machine-learning-benchmark-real-world,Penn Machine Learning Benchmark (Real-World),Real-World Datasets in Penn Machine Learning Benchmark
perceptual-distance,Perceptual Distance,
permuted-mnist,Permuted-MNIST,
perpetual-view-generation,Perpetual View Generation,**Perpetual View Generation** is the task of generating long-range novel views by flying into a given image.
persian-sentiment-anlysis,Persian Sentiment Analysis,Persian Sentiment analysis is the task of classifying the polarity of a given text.
pesona-dialogue-in-story,Persona Dialogue in Story,Building persona dialogue in a story
personality-recognition-in-conversation,Personality Recognition in Conversation,"Given a speaker's conversation with others, it is required to recognize the speaker's personality traits through the conversation record, which includes two scenarios, (1) $1-1$ conversations: the robot recognizes the personality traits of the speaker through the conversation between them (e.g., psychological counseling), (2) $1-N$ conversations : the robot listens to the speaker's conversations with other $N$ people and then recognizes the speaker's personality traits (e.g., group chatbot, home service robot). Since $1-N$ includes the case of $1-1$, we only discusses PRC in $1-N$ conversations. The task of PRC in $1-N$ conversations can be formulated as:

$Per_i = argmax_{Per'_i}P(Per'_i | C_{i,j}, \cdots, C_{i,N})$

where $Per_i=[Neu, Ext, Ope, Agr, Con]$ is a 5-dimensional vector representing Neuroticism, Extraversion, Openness, Agreeableness, and Conscientiousness. $C_{i,j}$ is the conversations between $Speaker_i$ and $Speaker_j$ ($1 \leq j \leq N$)."
personality-trait-recognition,Personality Trait Recognition,
personalized-and-emotional-conversation,Personalized and Emotional Conversation,"Personalized and Emotional Conversation (**PEC**) is defined as follows: Given the personalized information ($P_{R1}$ and $P_{R2}$) of two speakers, their conversation context $C$, the emotion $E_K$ and DA $D_K$ of the response to be generated, and the personalized information $P_{K}$ of the responder, the goal is to generate an anthropomorphic response $Y$.
\begin{equation}
Y = argmax_{Y'}P(Y'|C, E_K, D_K, P_K) \label{task_definition}
\end{equation}

Particularly, context $C=\{(U_1,E_1,D_1,P_1),\cdots,(U_{K-1},E_{K-1},D_{K-1},P_{K-1})\}$ contains multi-turn conversation content (i.e., utterance $U_i$), emotion $E_i$ of the associated utterance, DA $D_i$ of the associated utterance, and personalized information $P_i$ of the associated speaker."
personalized-federated-learning,Personalized Federated Learning,"The federated learning setup presents numerous challenges including data heterogeneity (differences in data distribution), device heterogeneity (in terms of computation capabilities, network connection, etc.), and communication efficiency.
Especially data heterogeneity makes it hard to learn a single shared global model that applies to all clients. To overcome these issues, Personalized Federated Learning (PFL) aims to personalize the global model for each client in the federation."
personalized-segmentation,Personalized Segmentation,"Given a one-shot image with a reference mask, the models are required to segment the indicated target object in any other images."
person-centric-knowledge-graphs,Person-Centric Knowledge Graphs,
person-centric-visual-grounding,Person-centric Visual Grounding,"Person-centric visual grounding is the problem of linking between people named in a caption and people pictured in an image. Introduced in ""Who's Waldo? Linking People Across Text and Images"" (Cui et al, ICCV 2021)."
person-identification,Person Identification,
person-recognition,Person Recognition,
person-re-identification,Person Re-Identification,"**Person Re-Identification** is a computer vision task in which the goal is to match a person's identity across different cameras or locations in a video or image sequence. It involves detecting and tracking a person and then using features such as appearance, body shape, and clothing to match their identity in different frames. The goal is to associate the same person across multiple non-overlapping camera views in a robust and efficient manner."
person-reposing,person reposing,Person reposing describes the task of changing the pose of a human in a given image to any desired target pose.
person-retrieval,Person Retrieval,
person-search,Person Search,"**Person Search** is a task which aims at matching a specific person among a great number of whole scene images.


<span class=""description-source"">Source: [Re-ID Driven Localization Refinement for Person Search ](https://arxiv.org/abs/1909.08580)</span>"
persuasion-strategies,Persuasion Strategies,Prediction of Persuasion Strategy in Advertisements
phenotype-classification,Phenotype classification,
philosophy,Philosophy,
phishing-website-detection,Phishing Website Detection,
phone-level-pronunciation-scoring,Phone-level pronunciation scoring,
phonocardiogram-classification,Phonocardiogram Classification,Classify labels/murmur/clinical outcome based on Phonocardiograms (PCGs)
photo-geolocation-estimation,Photo geolocation estimation,**Photo geolocation estimation** is task of estimate or classify the geolocation from photos on world map.
photometric-redshift-estimation,Photometric Redshift Estimation,
photoplethysmogram-simulation,Photoplethysmogram simulation,Simulating photoplethysmogram (PPG) signals
photoplethysmography-ppg,Photoplethysmography (PPG),"**Photoplethysmography (PPG)** is a non-invasive light-based method that has been used since the 1930s for monitoring cardiovascular activity.


<span class=""description-source"">Source: [Non-contact transmittance photoplethysmographic imaging (PPGI) for long-distance cardiovascular monitoring ](https://arxiv.org/abs/1503.06775)</span>"
photoplethysmography-ppg-beat-detection,Photoplethysmography (PPG) beat detection,Detecting heartbeats in the photoplethysmogram (PPG) signal
photoplethysmography-ppg-heart-rate,Photoplethysmography (PPG) heart rate estimation,Estimating heart rate from the photoplethysmogram (PPG) signal
photo-retouching,Photo Retouching,
photo-to-caricature-translation,Photo-To-Caricature Translation,"Photo-to-caricature translation is the task of adapting a photo to a cartoon or sketch.

<span style=""color:grey; opacity: 0.6"">( Image credit: [WarpGAN](https://arxiv.org/pdf/1811.10100v3.pdf) )</span>"
phrase-extraction-and-grounding-peg,Phrase Extraction and Grounding (PEG),PEG requires a model to extract phrases from text and locate objects from images simultaneously.
phrase-grounding,Phrase Grounding,"Given an image and a corresponding caption, the **Phrase Grounding** task aims to ground each entity mentioned by a noun phrase in the caption to a region in the image.


<span class=""description-source"">Source: [Phrase Grounding by Soft-Label Chain Conditional Random Field ](https://arxiv.org/abs/1909.00301)</span>"
phrase-ranking,Phrase Ranking,This task aims to evaluate the “global” rank list of phrases that a method finds from the input corpus.
phrase-relatedness,Phrase Relatedness,
phrase-tagging,Phrase Tagging,A fine-grained task that aims to find all occurrences of phrases in sentences.
phrase-vector-embedding,Phrase Vector Embedding,"Just like the generation of word (1-gram) vector embedding, this task is for phrase (n-gram) vector embedding."
physical-attribute-prediction,Physical Attribute Prediction,
physical-commonsense-reasoning,Physical Commonsense Reasoning,
physical-intuition,Physical Intuition,
physical-simulations,Physical Simulations,
physical-video-anomaly-detection,Physical Video Anomaly Detection,Detecting if an entire short clip of a physical or mechanical process features an anomalous motion
physics-informed-machine-learning,Physics-informed machine learning,Machine learning used to represent physics-based and/or engineering models
physics-mc,Physics MC,
physiological-computing,Physiological Computing,
piano-music-modeling,Piano Music Modeling,
pico,PICO,"The proliferation of healthcare data has contributed to the widespread usage of the PICO paradigm for creating specific clinical questions from RCT. 

PICO is a mnemonic that stands for:

Population/Problem: Addresses the characteristics of populations involved and the specific characteristics of the disease or disorder.
Intervention: Addresses the primary intervention (including treatments, procedures, or diagnostic tests) along with any risk factors.
Comparison: Compares the efficacy of any new interventions with the primary intervention.
Outcome: Measures the results of the intervention, including improvements or side effects.
PICO is an essential tool that aids evidence-based practitioners in creating precise clinical questions and searchable keywords to address those issues. It calls for a high level of technical competence and medical domain knowledge, but it’s also frequently very time-consuming.

Automatically identifying PICO elements from this large sea of data can be made easier with the aid of machine learning (ML) and natural language processing (NLP). This facilitates the development of precise research questions by evidence-based practitioners more quickly and precisely.

Empirical studies have shown that the use of PICO frames improves the specificity and conceptual clarity of clinical problems, elicits more information during pre-search reference interviews, leads to more complex search strategies, and yields more precise search results."
pill-classification,Pill Classification,
pill-classification-both-sides,Pill Classification (Both Sides),
pitch-control,Pitch control,
placenta-segmentation,Placenta Segmentation,
plan2scene,Plan2Scene,Converting floorplans + RGB photos to textured 3D mesh models of houses.
plane-instance-segmentation,Plane Instance Segmentation,
plant-phenotyping,Plant Phenotyping,
2048,Playing the Game of 2048,
pneumonia-detection,Pneumonia Detection,
pneumothorax-detection,Pneumothorax Detection,
poem-meters-classification,Poem meters classification,
point-cloud-classification,Point Cloud Classification,Point Cloud Classification is a task involving the classification of unordered 3D point sets (point clouds).
point-cloud-classification-dataset,Point cloud classification dataset,
point-cloud-completion,Point Cloud Completion,
point-cloud-generation,Point Cloud Generation,
point-cloud-pre-training,Point Cloud Pre-training,
point-cloud-quality-assessment,Point Cloud Quality Assessment,"### Background
A large and dense collection of points in three-dimensional space, collected by sensors such as LiDAR, is known as a point cloud. Points in the point cloud consist of geometric properties, such as three-dimensional spatial coordinates (x, y, z), and other attributes like color, reflectance, opacity, etc., represented by feature vectors. Since point clouds can directly represent the 3D world, they are widely employed in various fields, such as photogrammetry, power monitoring, architectural surveying, digital manufacturing, autonomous driving, gaming, cultural heritage 
 reservation, and more. 
### Significance
Interactive point clouds typically contain millions of colored points and may possess complex attributes. To address the substantial transmission bandwidth and storage space required by point clouds, 
 esearchers have developed various point cloud compression (PCC) techniques. However, point cloud compression may introduce significant visual distortions. In addition, deformations and distortions frequently occur during the acquisition, processing, transmission, rendering, and interaction of point clouds, all of which degrade the visual quality of the point cloud, ultimately impacting the application’s user experience. Therefore, effective methods
for quantifying the quality of compressed point clouds are needed. More generally, point cloud quality assessment (PCQA) is crucial for optimizing and evaluating point cloud processing algorithms, such as encoding, denoising, and super-resolution."
point-cloud-reconstruction,Point cloud reconstruction,"This task aims to solve inherent problems in raw point clouds: sparsity, noise, and irregularity."
point-cloud-registration,Point Cloud Registration,"**Point Cloud Registration** is a fundamental problem in 3D computer vision and photogrammetry. Given several sets of points in different coordinate systems, the aim of registration is to find the transformation that best aligns all of them into a common coordinate system. Point Cloud Registration plays a significant role in many vision applications such as 3D model reconstruction, cultural heritage management, landslide monitoring and solar energy analysis.


<span class=""description-source"">Source: [Iterative Global Similarity Points : A robust coarse-to-fine integration solution for pairwise 3D point cloud registration ](https://arxiv.org/abs/1808.03899)</span>"
point-cloud-retrieval,Point Cloud Retrieval,
point-clouds,Point Clouds,
point-cloud-segmentation,Point Cloud Segmentation,"3D point cloud segmentation is the process of
classifying point clouds into multiple homogeneous regions, the
points in the same region will have the same properties. The
segmentation is challenging because of high redundancy, uneven
sampling density, and lack explicit structure of point cloud
data. This problem has many applications in robotics such as
intelligent vehicles, autonomous mapping and navigation.

Source: [3D point cloud segmentation: A survey](https://doi.org/10.1109/RAM.2013.6758588)"
point-cloud-super-resolution,Point Cloud Super Resolution,"Point cloud super-resolution is a fundamental problem
for 3D reconstruction and 3D data understanding. It takes
a low-resolution (LR) point cloud as input and generates
a high-resolution (HR) point cloud with rich details"
pointgoal-navigation,PointGoal Navigation,
point-interactive-image-colorization,Point-interactive Image Colorization,"__Point-interactive colorization__ is a task of colorizing images given user-guided clicks containing colors (a.k.a color hints). 
Unlike unconditional image colorization, which is an underdetermined problem by nature, point-interactive colorization aims to generate images containing specific colors given by the user. 

Point-interactive colorization is evaluated by providing simulated user hints from the groundtruth color image. 
Following the [iColoriT protocol](https://arxiv.org/abs/2207.06831), user hints have a size of 2x2 pixels and color is given as the average color within the 2x2 pixels."
point-of-interests,point of interests,
point-of-no-return-pnr-temporal-localization,Point- of-no-return (PNR) temporal localization,
point-processes,Point Processes,
point-set-upsampling,Point Set Upsampling,
point-supervised-instance-segmentation,Point-Supervised Instance Segmentation,Weakly-Supervised Instance Segmentation using Point Labels
poker-hand-classification,Poker Hand Classification,
policy-gradient-methods,Policy Gradient Methods,
polish-text-diacritization,Polish Text Diacritization,Addition of diacritics for undiacritized Polish Wikipedia texts.
political-salient-issue-orientation-detection,Political Salient Issue Orientation Detection,
poll-generation,Poll Generation,
polyphone-disambiguation,Polyphone disambiguation,A part of the TTS-front end framework which serves to predict the correct pronunciation for the input polyphone characters.
polyp-segmentation,Polyp Segmentation,The goal of the project is to develop a computer-aided detection and diagnosis system for automatic polyp segmentation and detection.
popularity-forecasting,Popularity Forecasting,
population-assignment,Population Assignment,
population-mapping,Population Mapping,
populist-attitude,Populist attitude,
pornography-detection,Pornography Detection,
portfolio-optimization,Portfolio Optimization,"Portfolio management is the task of obtaining higher excess returns through the flexible allocation of asset weights. In reality, common examples are stock selection and the Enhanced Index Fund (EIF). The general solution of portfolio management is to score the potential of assets, buy assets with upside potential and increase their weighting, and sell assets that are likely to fall or are relatively weak. A large number of strategies have been proposed for portfolio management."
